sale_id,sale_item_id,item_estoque_id,original_item_estoque_id,stock_resolve_method,tipo,quantidade,line_kind,academy_id
6a1e01f9002908013fdb,6a1e01f900300c2d5a80,6a31e24f003d632a9955,6a162beb000b00e8fe11,old_variant_via_legacy,saida_venda,1,sale,699f21b70006985daa90
6a1e01f9002908013fdb,6a1e01fa0033af81efc3,6a31e257003033d0bac9,6a162bef0027f2fe0422,old_variant_via_legacy,saida_venda,1,sale,699f21b70006985daa90
6a1e01f9002908013fdb,6a1e01fc001117c29fc6,6a31e24700290d01dc48,6a162be7003d436a1a00,old_variant_via_legacy,saida_venda,1,sale,699f21b70006985daa90
6a288dc7002aaa5d4e1f,6a288dc7003922b634cf,6a31e22c0015b923d944,6a162bde002a5287b15d,old_variant_via_legacy,saida_venda,1,sale,699f21b70006985daa90
6a308ec0000f5180b6ec,6a308ec000371cee9905,6a31e231001ca3dc5d11,6a162be0001c02220fdb,old_variant_via_legacy,saida_venda,1,sale,699f21b70006985daa90
6a308ec0000f5180b6ec,6a308ec2000476a61f35,6a31e25600172cdc2b22,6a162bef000d8bf0b31c,old_variant_via_legacy,saida_venda,1,sale,699f21b70006985daa90
6a308ec0000f5180b6ec,6a308ec3000a5a79e582,6a31e22a00341112d884,6a162bde0008a2fb8c35,old_variant_via_legacy,saida_venda,1,sale,699f21b70006985daa90
6a327ee700297582d879,6a327ee7002f955cc8e3,6a327a630033829798e9,,direct,saida_venda,1,sale,699f21b70006985daa90
6a327ee700297582d879,6a327ee80011da9d9f7d,6a31e25600172cdc2b22,,direct,saida_venda,1,sale,699f21b70006985daa90
6a327ee700297582d879,6a327ee900148ce8e50d,6a31e22a000d617abdcd,,direct,saida_venda,1,sale,699f21b70006985daa90
6a327ee700297582d879,6a327eea001e1641918c,6a327e250036c26bb815,,direct,saida_venda,1,sale,699f21b70006985daa90
6a331d3f000a3870b068,6a331d3f0010d61eb415,6a32825c0038e6dff8d6,,direct,saida_venda,1,sale,699f21b70006985daa90
6a331d3f000a3870b068,6a331d3f002b3df76bed,6a31e25600172cdc2b22,,direct,saida_venda,1,sale,699f21b70006985daa90
6a331d3f000a3870b068,6a331d400026a3888768,6a31e22a000d617abdcd,,direct,saida_venda,1,sale,699f21b70006985daa90
6a331d3f000a3870b068,6a331d41002ba5e1454d,6a327e250036c26bb815,,direct,saida_venda,1,sale,699f21b70006985daa90
6a333c2a003c587a4736,6a333c2b0004473cd35f,6a333515001ad88ed6c2,,direct,saida_venda,1,sale,699f21b70006985daa90
6a3693bb00190457f2df,6a3693bb001f22becdb2,6a31e24700057a23265b,,direct,saida_venda,1,sale,699f21b70006985daa90
6a36ab67002b656a0acc,6a36ab6700318f6cf3ae,6a31e260000e3877ffc5,,direct,saida_venda,1,sale,699f21b70006985daa90
6a39a33d000119be633b,6a39a33d0007e2a6e8ac,6a31e242001374c18c8a,,direct,saida_venda,1,sale,699f21b70006985daa90
6a3b2f97002d70cbdbb9,6a3b2f9700340d629ccf,6a31e24e003350cebf3f,,direct,saida_venda,1,sale,699f21b70006985daa90
6a3b2f97002d70cbdbb9,6a3b2f98001d67e0f35d,6a31e253000c2ca8494c,,direct,saida_venda,1,sale,699f21b70006985daa90
6a3bf89d0002a8c326fd,6a3bf89d000998f27cf2,6a31e24e003350cebf3f,,direct,saida_venda,1,sale,699f21b70006985daa90
6a3bf89d0002a8c326fd,6a3bf89d0029c3b453a4,6a31e256003a0b21d4a6,,direct,saida_venda,1,sale,699f21b70006985daa90
6a3daa300036343c57da,6a3daa30003cabc79022,6a31e232000218703387,,direct,saida_venda,1,sale,699f21b70006985daa90
6a3daa300036343c57da,6a3daa31001dbbb39c40,6a31e22a00341112d884,,direct,saida_venda,1,sale,699f21b70006985daa90
6a3daa300036343c57da,6a3daa31003ccf7ca093,6a31e25600172cdc2b22,,direct,saida_venda,1,sale,699f21b70006985daa90
6a3daa300036343c57da,6a3daa32001fe8267a2f,6a327e250036c26bb815,,direct,saida_venda,1,sale,699f21b70006985daa90
